dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc,run
MoNuSeg,point_seed42,high_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.999244142101285,0.999244142101285,0.997810329205678,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.8977702191987906,0.8977702191987906,0.567919774491219,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.3155706727135299,0.6844293272864701,0.182828751895452,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.8968253968253969,0.8968253968253969,0.5667995102861147,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.8849206349206349,0.8849206349206349,0.5655861226935915,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.2588813303099017,0.7411186696900982,0.1681497940767363,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.7526455026455027,0.7526455026455027,0.5205791864736716,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.4414210128495842,0.5585789871504158,0.2286673946840611,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5736961451247166,0.5736961451247166,0.3770283886660748,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.8671579743008315,0.8671579743008315,0.5463576013876776,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.85062358276644,0.85062358276644,0.5897908451525918,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.8448601662887377,0.8448601662887377,0.5163142232172135,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.8748110355253212,0.8748110355253212,0.5788127040847454,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.7932728647014361,0.7932728647014361,0.4910349281383572,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.7791005291005292,0.7791005291005292,0.4855542724099698,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,random_forest::global_features,global_features,group_kfold,5,42,126,0.9015495086923656,0.9015495086923656,0.647664591456906,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.8879440665154951,0.8879440665154951,0.5632177482954375,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.8886999244142102,0.8886999244142102,0.559552394884484,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.919501133786848,0.919501133786848,0.7600880033839764,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.8839758125472411,0.8839758125472411,0.5561917332930262,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.8856764928193499,0.8856764928193499,0.5521425736230153,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_boundary_error_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.9238473167044596,0.9238473167044596,0.7653124589963419,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.2125850340136054,0.7874149659863946,0.1608152143772816,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.6358654572940288,0.6358654572940288,0.5143249823750152,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.2186318972033258,0.7813681027966741,0.1617952587119425,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.2908163265306122,0.7091836734693877,0.1754783365123594,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.3745275888133031,0.6254724111866969,0.2115738373312342,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.653817082388511,0.653817082388511,0.3741511152744882,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.5290060468631897,0.5290060468631897,0.250698064724673,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5560279667422524,0.5560279667422524,0.2937528099490319,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.2943121693121693,0.7056878306878307,0.1754909322269587,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.2854308390022675,0.7145691609977325,0.1748321631252622,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.2222222222222222,0.7777777777777778,0.1624561199858563,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.3160430839002268,0.6839569160997732,0.1797232485215017,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.7537792894935752,0.7537792894935752,0.4497726742817153,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.7626606198034769,0.7626606198034769,0.4583104997034718,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,random_forest::global_features,global_features,group_kfold,5,42,126,0.6953892668178383,0.6953892668178383,0.3550990989310277,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.8412698412698412,0.8412698412698412,0.6323071820271867,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.8482615268329554,0.8482615268329554,0.6462380344689075,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.7930839002267573,0.7930839002267573,0.4981043684120966,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.8321995464852607,0.8321995464852607,0.6165675081085765,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.8452380952380952,0.8452380952380952,0.6400288251482076,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_boundary_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.7962962962962963,0.7962962962962963,0.5397908010194445,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::global_mean_entropy,predefined_score,none,0,42,126,0.9986772486772488,0.9986772486772488,0.9961867550130692,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::global_max_entropy,predefined_score,none,0,42,126,0.5020786092214664,0.5020786092214664,0.2524763207484061,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::global_mean_margin_uncertainty,predefined_score,none,0,42,126,0.9998110355253212,0.9998110355253212,0.9994462901439646,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::foreground_area_frac,predefined_score,none,0,42,126,0.9996220710506424,0.9996220710506424,0.9989177489177488,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::boundary_risk_score,predefined_score,none,0,42,126,0.460978835978836,0.539021164021164,0.237472828622449,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::boundary_overconfidence_score,predefined_score,none,0,42,126,0.4921579743008314,0.5078420256991686,0.2554600186902361,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::boundary_abnormality_score,predefined_score,none,0,42,126,0.5359977324263039,0.5359977324263039,0.2786661340531623,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::boundary_dual_risk_score,predefined_score,none,0,42,126,0.5254157218442933,0.5254157218442933,0.2595198430500253,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::uncertainty_cluster_score,predefined_score,none,0,42,126,0.994520030234316,0.994520030234316,0.9847407198234726,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::topology_risk_score,predefined_score,none,0,42,126,0.9843159486016628,0.9843159486016628,0.957334022112898,stage3_predictor_monuseg_point_seed42
