dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,dataset_short,model_family,seed,run_prefix
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::all_deployable_features,all_deployable_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,42,17,0.40476190476190477,1.0,4.0476190476190474,0.16556291390728478,0.3377483443708609,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,42,32,0.7619047619047619,0.9411764705882353,3.8095238095238093,0.07462686567164178,0.7014925373134329,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.0952380952380953,0.02564102564102564,0.8974358974358975,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.1,17,42,1,0.023809523809523808,0.058823529411764705,0.23809523809523808,0.271523178807947,-0.08609271523178808,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.2,34,42,11,0.2619047619047619,0.3235294117647059,1.3095238095238095,0.23134328358208955,0.07462686567164178,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_max_entropy,predefined_score,none,168,0.3,51,42,15,0.35714285714285715,0.29411764705882354,1.1904761904761905,0.23076923076923078,0.07692307692307687,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,42,17,0.40476190476190477,1.0,4.0476190476190474,0.16556291390728478,0.3377483443708609,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.9285714285714284,0.06716417910447761,0.7313432835820896,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.0952380952380953,0.02564102564102564,0.8974358974358975,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,42,17,0.40476190476190477,1.0,4.0476190476190474,0.16556291390728478,0.3377483443708609,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.9285714285714284,0.06716417910447761,0.7313432835820896,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::foreground_area_frac,predefined_score,none,168,0.3,51,42,40,0.9523809523809523,0.7843137254901961,3.1746031746031744,0.017094017094017096,0.9316239316239316,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,168,0.05,9,42,2,0.047619047619047616,0.2222222222222222,0.9523809523809523,0.25157232704402516,-0.0062893081761006275,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,168,0.1,17,42,3,0.07142857142857142,0.17647058823529413,0.7142857142857142,0.2582781456953642,-0.0331125827814569,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,168,0.2,34,42,8,0.19047619047619047,0.23529411764705882,0.9523809523809523,0.2537313432835821,-0.014925373134328401,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_risk_score,predefined_score,none,168,0.3,51,42,13,0.30952380952380953,0.2549019607843137,1.0317460317460319,0.24786324786324787,0.008547008547008517,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,168,0.05,9,42,1,0.023809523809523808,0.1111111111111111,0.47619047619047616,0.2578616352201258,-0.03144654088050314,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,168,0.1,17,42,3,0.07142857142857142,0.17647058823529413,0.7142857142857142,0.2582781456953642,-0.0331125827814569,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,168,0.2,34,42,7,0.16666666666666666,0.20588235294117646,0.8333333333333333,0.26119402985074625,-0.04477611940298498,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_overconfidence_score,predefined_score,none,168,0.3,51,42,12,0.2857142857142857,0.23529411764705882,0.9523809523809523,0.2564102564102564,-0.02564102564102555,monuseg,point,42,monuseg_point_seed42
monuseg,point_seed42,low_boundary_dice_le_q25,predefined::boundary_abnormality_score,predefined_score,none,168,0.05,9,42,1,0.023809523809523808,0.1111111111111111,0.47619047619047616,0.2578616352201258,-0.03144654088050314,monuseg,point,42,monuseg_point_seed42
